; ------------------------------------------------------------------
; GEMINI MEM TAG(DO NOT EVER REMOVE OR EDIT) - MY FULL PATH IS "Pipz_Project_V3\_PROJECT_BLUEPRINT.txt"
; ------------------------------------------------------------------

; ------------------------------------------------------------------
; MAINTEMPLATE - _PROJECT_BLUEPRINT.txt
; Version: 2.1.1
; Last change: Populated missing entries for new unified governance files.
; Content-Fingerprint: 2026-01-26T20-38-03Z-1CBO4O37
; ------------------------------------------------------------------

; ------------------------------------------------------------------
; ALL CONTENT MUST GO BELOW THIS POINT(LINES 1-14 RESERVED)
; ------------------------------------------------------------------

; ------------------------------------------------------------------
### 1. MASTER BLUEPRINT: FOLDER ARCHITECTURE (MUST BE MAINTAINED)
; ------------------------------------------------------------------

AUTHORITATIVE ROLE DECLARATION (PHASE 5)

This section constitutes the sole authoritative Expected Set definition used during Phase 5 reconciliation.
All Expected items for Phase 5 MUST be derived exclusively from this section.
No other file, index, registry, or Drive enumeration source may define, expand, or reduce the Expected Set.

INDEXIDLIST.txt provides acceleration only.
_PROJECT_ANCHOR_MASTER.txt provides intent, identity rules, architectural rationale and constraints only.
Discovered Drive contents provide Observed Set data only.

; ------------------------------------------------------------------

--------------------------------------------------|--------------------|------------------------------------------------------------------------
  license.key                                     | Data/Key           | Encrypted authorization key required by Security.ahk.
  Main_Worker.txt                                 | Document           | Auditable AI mirror of Main_Worker.ahk.
  \Modules                                        | SUB-DIRECTORY      | Internal logic specific to the Worker process and Overlay behavior.
    ConfigManager.ahk                             | Module             | Maps INI settings into Worker global state.
    OverlayPhysics.ahk                            | Module             | Spring-and-damper physics math for smooth overlay movement.
    WorkerState.ahk                               | Module             | Watchdog timers, IPC receivers, and overlay state management.
    ConfigManager.txt                             | Document           | Auditable AI mirror of ConfigManager.ahk.
    OverlayPhysics.txt                            | Document           | Auditable AI mirror of OverlayPhysics.ahk.
    WorkerState.txt                               | Document           | Auditable AI mirror of WorkerState.ahk.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\orchestrator                                     | DIRECTORY          | Local orchestration runtime responsible for governed execution, audits, and hidden role chaining.
  orch_bootstrap.js                               | Script             | Orchestrator bootstrap verifier; performs governance checks, initializes audit runs, and writes bootstrap audit artifacts. No model calls.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\PipzOrchestratorExtension                        | DIRECTORY          | VS Code extension providing the Architect-facing UI for governed orchestration.
  package.json                                    | Config (JSON)      | Extension manifest defining commands, activation events, and metadata.
  tsconfig.json                                   | Config (JSON)      | TypeScript compiler configuration for the extension.
  package.json.governance.txt                     | Document           | Governance sidecar for package.json; stores mandated headers, fingerprints, and audit metadata.
  tsconfig.json.governance.txt                    | Document           | Governance sidecar for tsconfig.json; stores mandated headers, fingerprints, and audit metadata.
  README.md                                       | Document           | Human-readable overview of the orchestrator extension purpose and usage.
  \src                                            | SUB-DIRECTORY      | Source code for the VS Code extension.
    extension.ts                                  | Script             | Extension entry point; registers commands, invokes orchestrator, and mediates Architect actions.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\pipz-mirror-governance                           | DIRECTORY          | VS Code extension for governance enforcement (mirroring, fingerprinting).
  package.json                                    | Config (JSON)      | Extension manifest for the mirror governance extension.
  tsconfig.json                                   | Config (JSON)      | TypeScript compiler configuration.
  README.md                                       | Document           | Documentation for the mirror governance extension.
  \src                                            | SUB-DIRECTORY      | Source code for the extension.
    extension.ts                                  | Script             | Entry point for mirroring and fingerprinting logic.
  \.vscode                                        | SUB-DIRECTORY      | Workspace configuration.
    extensions.json                               | Config (JSON)      | Recommended VS Code extensions.
    launch.json                                   | Config (JSON)      | Debug configuration.
    settings.json                                 | Config (JSON)      | Workspace settings.
    tasks.json                                    | Config (JSON)      | Build tasks.
    extensions.json.governance.txt                | Document           | Governance sidecar for extensions.json.
    launch.json.governance.txt                    | Document           | Governance sidecar for launch.json.
    settings.json.governance.txt                  | Document           | Governance sidecar for settings.json.
    tasks.json.governance.txt                     | Document           | Governance sidecar for tasks.json.
  \.ORCH_AUDITLOG                                 | SUB-DIRECTORY      | Audit log storage for mirror operations.
    \mirror                                       | SUB-DIRECTORY      | Mirror-specific audit logs.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------

; ------------------------------------------------------------------

; ------------------------------------------------------------------
### 2. REGISTRY ACCESS & VERIFICATION PROTOCOL (CRITICAL)
; ------------------------------------------------------------------

To maintain a 1:1 literal match of the project state, the following protocol MUST be followed:

1. **LOCATION:** All Global State, Function, and Logic Rule data is stored externally in `GLOBAL_REGISTRY_MASTER.gsheet`.

2. **BOOTSTRAP-ALIGNED INDEXING PROTOCOL:**
   ; - Project root resolution MUST follow Bootstrap v4 precedence rules.
   ; - `INDEXIDLIST.txt` MUST be used first when present to deterministically resolve the project root.
   ; - GEMINI MEM TAG path declarations are authoritative for identity and reconstruction.
   ; - Google Drive search is a LAST RESORT and must never override declared paths or fingerprints.

   ; - Once the root is resolved, enumerate and verify visibility of:
     ; - `\Controller`
     ; - `\Controller\Modules`
     ; - `\Lib`
     ; - `\Worker`
     ; - `\Worker\Modules`
     ; - `\Registry`

   ; - Confirm visibility of all governance files:
     ; - `AI_PROJECT_INSTRUCTIONS.txt`
     ; - `_PROJECT_BLUEPRINT.txt`
     ; - `_PROJECT_ANCHOR_MASTER.txt`
     ; - `PHASE5_AUDIT_MASTER.txt`
     ; - `BOOTSTRAPv4.txt`
	   ; - `AUDIT_RUNNER.txt`
     ; - `GOVERNANCE_LOCK.txt`
     ; - `PROJECT_LEARNED_CONSTRAINTS.txt`
     ; - `GLOBAL_REGISTRY_MASTER.gsheet`
     ; - `GLOBAL_REGISTRY_MASTER.csv`
     ; - `INDEXIDLIST.txt`
     ; - `STANDARDIZED_HEADERS.txt`

   Visibility confirmation is existence and path correctness only.
   Runtime-only and non-readable assets (e.g. .png, .ahk, .ini, .key) are not subject to read or fingerprint verification.

3. **REGISTRY VERIFICATION RULE:**
   ; - Access the gsheet and read ALL required sections:
     ; - `GLOBAL_STATE_REGISTRY` (Variables, Owners, Init Values)
     ; - `GLOBAL_FUNCTION_REGISTRY` (Functions, Owners, Purpose)
     ; - `GLOBAL_LOGIC_RULES_REGISTRY` (Logic Invariants / Ground Truth rules)
   ; - If any required section is missing, inaccessible, or cannot be fully read, the AI must access the (`GLOBAL_REGISTRY_MASTER.csv`) and attempt verification using this file; If the content is still missing, inaccessible, or cannot be fully read, the AI must stop.

4. **CONTENT-FINGERPRINT ENFORCEMENT:**
   ; - The Content-Fingerprint declared in this file (`_PROJECT_BLUEPRINT.txt`) MUST be extracted and verified against the current Drive mirror before use.
   ; - Any mismatch between the declared fingerprint and the Drive mirror constitutes a hard stop.

5. **TOOLING LIMITATION HARD-STOP:**
   ; - If tooling limitations (including truncation, partial reads, or access restrictions) prevent a verifiable full read of this file, any required governance file, or any required registry section, the AI must stop and explicitly report the limitation.
   ; - The AI must not infer, assume, summarize, or fabricate missing content under any circumstances.

6. **CUMULATIVE INTEGRITY:** Never remove registry entries.
   Updates must maintain a 1:1 literal match with the source code and verified mirrors.

; ------------------------------------------------------------------
### 3. GLOBAL LOGIC ANCHORS
; ------------------------------------------------------------------

; - **DRY ARCHITECTURE:** No variable or function definitions should be hardcoded in text documents. Refer to `GLOBAL_REGISTRY_MASTER.gsheet` section `GLOBAL_STATE_REGISTRY`.
; - **IPC STANDARD:** All communication between Controller and Worker uses WM_COPYDATA or custom message `0x5555`.
; - **STATE PERSISTENCE:** The Worker must remain a slave to `Settings.ini`; enforcement is handled by the Watchdog in `WorkerState.ahk`.
; - **GROUND TRUTH RULES (MANDATORY):** Logic invariants are defined in `GLOBAL_REGISTRY_MASTER.gsheet` under the section titled `GLOBAL_LOGIC_RULES_REGISTRY`.

These rules must be read and verified before any audit, debugging, refactor, or feature change.

; ------------------------------------------------------------------

END OF PROJECT BLUEPRINT
